"ID","timeout","settings.condition","myChoice","otherID","otherChoice","isOtherIn","experiment","counterbalancing","cooperation_N","cooperation_other","prediction_other_cooperate","prediction_other_cooperate_explanation","reverse_prediction_themselves_cooperate","reverse_prediction_themselves_cooperate_explanation","prediction_other_cooperate_if_saw","prediction_other_cooperate_if_saw_explanation","understood_payoffs","did_they_know","why_other_choice","play_coop_again_same","play_coop_again_diff","experience_econ_num","experience_econ_str","name_game","know_name_game","gender_reported","gender_prolific","gender_match","age_reported","age_prolific","age_match","time_choice","time_total","feedback_comments"
22,"none","TA0","A",24,"A",TRUE,1,0,1,1,0.82,"we both get the same return",0.9,"it's logical we both get a decent return",0,"they would earn more",TRUE,0.14,"I misunderstood this question. sorry",0.74,0.7,1,"Never","I don't know",0,"Male","Male",TRUE,59,59,TRUE,0.59087924999961,10.40855,""
23,"none","TA2","B",15,"B",TRUE,1,0,0,0,0.72,"I think they will choose A as they would receive more.",0.39,"I don't know.",0.23,"I think if they saw I chose B, the less rewarding option for myself they would be more likely to split the reward.",FALSE,0.39,"It was a higher reward for them.",0.74,0.36,2,"Once","I don't know",0,"Male","Male",TRUE,26,26,TRUE,1.54494899999991,9.87111666666667,"No"
24,"none","TA0","A",22,"A",TRUE,1,0,1,1,0.85,"It's a fair choice and it guarantees that we both recieve a nice bonus
",0.9,"They expect a fair agreement",0.9,"We both benefit from the bonus payment and therefore we are both happy with outcome",TRUE,0.95,"They wanted to gain the most amount of money that would be beneficial to both parties",1,1,2,"Once","I don't know",0,"Male","Male",TRUE,19,19,TRUE,2.4815,7.87376666666667,""
25,"none","TA4","B",31,"B",TRUE,1,0,0,0,0.05,"I believe it's because option B would likely give either of us the bigger amount of rewards and is the least risky option than choosing option A.",0.04,"I think that the other participant would likely be in the same kind of shoes as I am when choosing the best option.",0.01,"Since I chose option B, the other participant would choose the option which would give them more of the bonus money. Them choosing option B would give them 0.10 cents more than choosing option A.",TRUE,0.83,"I believe that them choosing option B would have them a better chance of getting the better bonus amount.",0.02,0.0600000000000001,1,"Never","I don't know",0,"Female","Female",TRUE,20,20,TRUE,0.982336666665893,18.8112666666667,"No comments to provide."
26,"none","TB4","B",NA,"B",FALSE,1,1,1,1,0.75,"I think they will choose B because it is the best chance of us both walking away with the most money.",0.75,"Same as before. I'm hoping that they logically see it is the best chance of us both achieving as much as possible.",0.4,"If they had the full information, they could easily get a larger reward.",TRUE,0.85,"For the same reason I did: They saw it as the choice that led to the highest cumulative reward.",1,1,2,"Once","Prisoner's Dilemma",1,"Male","Male",TRUE,26,26,TRUE,3.3311,9.16665,""
27,"none","TB0","A",4,"B",TRUE,1,1,0,1,0.1,"More money available if they choose option A",0.1,"20p minimum for option A with a chance of 70p. Option B however is either 10p or 50p. More money is available for A",0,"They would choose A as the most they can get is 20p rather than 10p",TRUE,0,"More money was available if both decided on B",1,0,1,"Never","I don't know",0,"Male","Male",TRUE,23,23,TRUE,0.328633083333262,6.77328333333333,""
28,"none","TB1","B",19,"B",TRUE,1,1,1,1,1,"Best payout for us both",1,"For the better payout",1,"Because cooperation benefits us both",TRUE,0,"To benefit us both",1,1,5,"Very Often","Money Game",0,"Male","Male",TRUE,22,22,TRUE,0.151823250000598,5.86911666666667,"This reminds me of the trust bot experiment, where an AI would play similar game based on your decisions with the intent to maximise their reward"
29,"none","TB7","A",7,"B",TRUE,1,1,0,1,0.2,"Because choosing option A gives you the higher amount in case the other participant choose option B but at the same time it guarantees you a smaller amount",0.2,"The other participant would think that I choose option A because he will choose the same",0.1,"It is more profitable in my opnion to choose option A",TRUE,0,"maybe they taught i choose option B which could give us equally 0.50, make sense to go that way but I wouldnt risk choosing that option",0,0.1,1,"Never","Monopoly",0,"Male","Male",TRUE,27,27,TRUE,2.39945,24.6279833333333,""
30,"none","TA6","A",20,"A",TRUE,1,0,1,1,0.6,"i am not entirely sure, there is the highest likely hood of each getting the highest amount with both picking A but they might also see that and see that I will pick A so they pick B to get more money",0.49,"They might think that I will just go for the larger sum, Although statistically what I think they picked should be similar to what I think they think I picked",0.6,"they might see that i have their interests in mind as well, as long as they aren't in it for the money I believe they split it
",TRUE,0.6,"The idea of between this kind of study has been seen more and more so they might have known to do option A, but also I believe that most people see humans as a generally good being naturally so doing the option for the greater sum and the best split would be choosen",1,0.75,3,"A few times","I don't know",0,"Male","Male",TRUE,22,22,TRUE,1.85325624999968,8.78146666666667,""
31,"none","TA4","B",25,"B",TRUE,1,0,0,0,0.32,"I think that most people will take the risk in an attempt to get more money, and fall back on a safer option if an initial gamble doesn't work.",0.36,"I think most people will go all in on the first choice for more money, so it makes sense to expect the same from me.",0.28,"This would give them the most money, as I doubt people who feel the need to choose an option which is better for both of us when they can instead get more money guaranteed. If theres a risk, then maybe not, but here there isnt, so I'd expect them to choose A.",TRUE,0.28,"I think that most people will risk the chance at more money in case the other person attempts to play it safe. I would expect the majority of people taking part to choose B.",0.71,0.29,3,"A few times","Money Game",0,"Male","Male",TRUE,19,19,TRUE,3.62790858333333,11.6565666666667,"I may have incorrectly typed 'A' instead of B on one of my responses: I meant that someone will go with the option that gives them the most money, so if I chose B and they knew it would be B, they would choose B for the maximum payout, not A as I think I said."
